add-none,10,1,20,961600,48080,0
add-none,10,11,220,900800,4094,0
add-none,10,21,420,891500,2122,0
add-none,10,31,620,913200,1472,0
add-none,10,41,820,884100,1078,0
add-none,10,51,1020,915500,897,0
add-none,10,61,1220,880200,721,0
add-none,10,71,1420,957200,674,0
add-none,10,81,1620,930200,574,0
add-none,10,91,1820,927400,509,0
add-none,10,101,2020,877800,434,0
add-none,10,111,2220,913500,411,0
add-none,10,121,2420,915900,378,0
add-none,10,131,2620,935300,356,0
add-none,10,141,2820,963900,341,0
add-none,10,151,3020,920600,304,0
add-none,10,161,3220,895400,278,0
add-none,10,171,3420,868500,253,0
add-none,10,181,3620,883000,243,0
add-none,10,191,3820,932400,244,0
add-none,10,201,4020,930200,231,0
add-none,10,211,4220,884500,209,0
add-none,10,221,4420,886100,200,0
add-none,10,231,4620,923900,199,0
add-none,10,241,4820,922800,191,0
add-none,10,251,5020,949600,189,0
add-none,10,261,5220,1023800,196,0
add-none,10,271,5420,916200,169,0
add-none,10,281,5620,924400,164,0
add-none,10,291,5820,897900,154,0
add-none,10,301,6020,897100,149,0
add-none,10,311,6220,879000,141,0
add-none,10,321,6420,950500,148,0
add-none,10,331,6620,931800,140,0
add-none,10,341,6820,934500,137,0
add-none,10,351,7020,892700,127,0
add-none,10,361,7220,910100,126,0
add-none,10,371,7420,931500,125,0
add-none,10,381,7620,950700,124,0
add-none,10,391,7820,897800,114,0
add-none,10,401,8020,902800,112,0
add-none,10,411,8220,941700,114,0
add-none,10,421,8420,933200,110,0
add-none,10,431,8620,897800,104,0
add-none,10,441,8820,921000,104,0
add-none,10,451,9020,877900,97,0
add-none,10,461,9220,896300,97,0
add-none,10,471,9420,917200,97,0
add-none,10,481,9620,802400,83,0
add-none,10,491,9820,842600,85,0
add-none,10,501,10020,949300,94,0
add-none,10,511,10220,910300,89,0
add-none,10,521,10420,910600,87,0
add-none,10,531,10620,884500,83,0
add-none,10,541,10820,900300,83,0
add-none,10,551,11020,831600,75,0
add-none,10,561,11220,889200,79,0
add-none,10,571,11420,931400,81,0
add-none,10,581,11620,955300,82,0
add-none,10,591,11820,930300,78,0
add-none,10,601,12020,888200,73,0
add-none,10,611,12220,866700,70,0
add-none,10,621,12420,931900,75,0
add-none,10,631,12620,905800,71,0
add-none,10,641,12820,842800,65,0
add-none,10,651,13020,993300,76,0
add-none,10,661,13220,998700,75,0
add-none,10,671,13420,930600,69,0
add-none,10,681,13620,905800,66,0
add-none,10,691,13820,897200,64,0
add-none,10,701,14020,909700,64,0
add-none,10,711,14220,942200,66,0
add-none,10,721,14420,881500,61,0
add-none,10,731,14620,920200,62,0
add-none,10,741,14820,920800,62,0
add-none,10,751,15020,927100,61,0
add-none,10,761,15220,890200,58,0
add-none,10,771,15420,908200,58,0
add-none,10,781,15620,922100,59,0
add-none,10,791,15820,878500,55,0
add-none,10,801,16020,899100,56,0
add-none,10,811,16220,895500,55,0
add-none,10,821,16420,897400,54,0
add-none,10,831,16620,894000,53,0
add-none,10,841,16820,865900,51,0
add-none,10,851,17020,876000,51,0
add-none,10,861,17220,934000,54,0
add-none,10,871,17420,921600,52,0
add-none,10,881,17620,913200,51,0
add-none,10,891,17820,915700,51,0
add-none,10,901,18020,911900,50,0
add-none,10,911,18220,899600,49,0
add-none,10,921,18420,927700,50,0
add-none,10,931,18620,928400,49,0
add-none,10,941,18820,968000,51,0
add-none,10,951,19020,925200,48,0
add-none,10,961,19220,891600,46,0
add-none,10,971,19420,899000,46,0
add-none,10,981,19620,978500,49,0
add-none,10,991,19820,908200,45,0
add-none,10,1001,20020,910700,45,0
add-none,10,1011,20220,888500,43,0
add-none,10,1021,20420,905700,44,0
add-none,10,1031,20620,965800,46,0
add-none,10,1041,20820,913200,43,0
add-none,10,1051,21020,922900,43,0
add-none,10,1061,21220,939600,44,0
add-none,10,1071,21420,907300,42,0
add-none,10,1081,21620,874400,40,0
add-none,10,1091,21820,900800,41,0
add-none,10,1101,22020,921800,41,0
add-none,10,1111,22220,887400,39,0
add-none,10,1121,22420,921000,41,0
add-none,10,1131,22620,893400,39,0
add-none,10,1141,22820,937700,41,0
add-none,10,1151,23020,939700,40,0
add-none,10,1161,23220,969000,41,0
add-none,10,1171,23420,886100,37,0
add-none,10,1181,23620,933700,39,0
add-none,10,1191,23820,907600,38,0
add-none,10,1201,24020,905800,37,0
add-none,10,1211,24220,904200,37,0
add-none,10,1221,24420,985900,40,0
